NO,NO2,NOx,NH3,CO,SO2
4.68,30.66,20.22,1.62,0.89,8.59
4.6,26.48,17.83,2.72,0.55,10.19
20.4,39.44,37.67,3.41,0.73,10.43
20.42,39.56,37.74,2.15,0.89,10.33
11.5,45.23,33.61,0.3,1.04,10.36
5.87,48,30.5,0.75,0.84,15.03
20.08,57.93,47.24,2.03,1.07,12.3
16.11,62.91,46.64,2.73,0.82,18.89
15.11,65,46.85,3.53,1.22,25.14
14.25,80.74,54.62,3.19,1.21,30.44
22.55,75.54,58.58,4.88,1.15,30.69
15.11,89.44,59.86,3.45,1.48,38.91
6.56,64.69,40.04,7.46,1.32,24.47
15.32,46.68,37.45,8.41,0.73,10.63
13.93,43.42,34.5,8.82,0.87,7.51
14.56,35.92,30.95,10.76,0.84,7.49
5.44,38.81,25.15,9.87,1.03,9.65
3.87,38.27,23.58,10.18,1.07,12.15
3.59,47.93,28.6,7.09,0.89,16.66
5.92,60.41,37.34,6.46,0.86,31.55
11.95,87.35,58.15,4.5,1.43,13.65
2.74,82.32,46.02,2.1,1.08,20.63
5.87,78.98,46.8,3.41,1.32,19.96
9.11,97.16,59.17,3.61,1.28,17.17
19.47,105.22,71.79,3.81,1.81,20.78
4.73,89.01,51.18,2.95,1.51,15.71
3.64,66.83,38.5,2.12,1.84,19.81
6.73,81.64,48.91,6,0.9,39.76
10.69,90.28,56.71,4.66,1.16,14.21
3.58,68.12,39.14,1.79,1.17,13.87
4.54,69.78,40.81,3.38,1.09,14.03
4.09,86.95,49.58,1.52,1.11,13.62
4.32,76.89,44.42,10.9,1.6,14.31
4.57,85.21,49.04,8.52,1.11,13.06
4.45,92.4,52.76,6.31,0.76,10.86
5.15,92.9,53.61,8.66,1.37,11.12
4.42,76.7,44.4,10.99,1.47,10.17
5.85,72.27,43.16,13.91,1.14,9.58
5.59,72.19,42.93,17.31,1.23,11.7
5.46,77.58,45.71,16.59,0.97,13.75
6.68,79.86,47.92,15.05,0.97,18.13
5.37,74.89,44.2,16.85,1.07,17.68
3.33,57.77,33.44,18.28,1.1,23.81
3.6,50.62,29.86,20.78,0.96,23.87
2,30.38,17.79,21.15,0.7,10.94
2.2,28.6,17.01,22.45,0.45,12.41
4.77,39.69,24.99,23.12,0.67,44.59
9.24,67.05,43.17,20.44,1.28,57.72
6.61,63.12,38.95,19.24,0.94,29.45
3.65,55.65,32.57,17.93,1.17,13.62
2.86,46.47,27.04,20.01,1,12.32
5.55,67.51,40.43,19.51,1.34,42.75
13.43,77.45,52.11,19.49,1.16,20.19
12.45,69.63,47.16,18.65,1.08,13.32
5.44,51.24,31.68,21.42,0.89,10.45
13.43,69.17,47.7,21.66,0.92,25.43
5.44,67.17,40.16,21.34,1.01,28.57
4.57,76.4,44.35,15.29,1.34,33.25
4.24,74.24,42.93,15.82,1.1,40.52
6.56,83.38,49.69,15.16,1.09,30.85
13.93,124.57,77.59,10.65,1.38,48.92
35.59,140.17,103.49,8.7,1.24,42.26
9.48,106.1,64.14,9.27,1.43,15.29
6.73,92.41,54.63,11.1,1.33,15.9
9.63,94.51,58.1,13.66,1.45,11.75
17.24,103.31,68.98,13.63,1.5,16.53
36.87,121.38,94.54,11.21,1.25,39.68
12.68,121.94,75.16,10.39,0.86,66.39
14.96,113.39,72.47,7.38,0.78,9.43
11.17,100.16,62.36,8.62,0.96,10.56
5.83,71.61,42.84,15.19,0.5,10.52
4.86,57.32,34.44,17.36,0.64,12.33
2.91,58.43,33.44,17.38,0.44,12.91
5.68,60.37,36.74,17.46,1.02,26.39
3.49,50.62,29.77,17.97,0.7,6.49
3.46,58.6,33.99,16.97,0.82,13.73
5.64,63.17,38.2,18.79,0.8,26.75
13.44,61.22,43.49,22.53,0.72,11.71
17.23,71.77,52.18,17.22,0.91,16
7.53,64.26,40.3,18.38,0.55,14.8
20.01,60.14,48.26,20.43,0.85,13.57
4.15,49.18,29.54,21.17,0.55,13.17
6.36,43.14,28.2,20.36,0.87,11.48
3.87,38.2,23.52,21.38,0.72,12.19
2.65,22.75,14.26,22.92,0.38,8.37
2.38,27.55,16.59,22.29,0.44,11.04
5.29,55.79,34.06,17.58,1.28,15.66
5.5,56.1,34.39,17.76,0.98,27.99
5.98,65.34,39.69,17.61,1.02,26.84
5.14,71.78,42.43,12.16,1.39,15.58
5.4,68.18,40.73,15.31,1.06,13.42
29.13,85.01,68.98,14.32,1.15,10.68
6.08,69.13,41.71,13.58,1.27,17.71
3.04,61.14,35.07,15.38,1.11,16.63
13.08,83.44,55.08,14.61,1.58,12.92
15.23,74.7,49.36,10.83,1.03,18.7
7.69,25.85,20.1,10.97,0.74,12.37
2.61,16.37,10.79,17.41,0.76,8.47
6.38,23.26,17.36,16.81,0.86,16.7
1.02,16.86,9.76,13.91,0.52,10.21
3.19,17.12,11.14,16.46,0.66,10.22
4.03,26.18,17.28,13.97,0.66,9.84
3.01,28.42,17.6,14.9,0.74,10.43
15.49,35.52,31.56,16.42,0.84,9.78
2.29,22.82,13.91,16.94,0.7,6.98
2.59,15.97,10.54,14.52,0.55,7.78
1.38,13.31,8.16,12.92,0.54,13.52
7.55,17.35,15.37,10.31,0.59,12.99
8.59,17.16,16.19,11.98,0.72,10.51
7.19,15.26,14.04,9.84,0.58,10.5
18.66,21.18,26.51,9.69,0.72,8.3
26.53,25.18,35.05,10.43,0.64,14.78
43.76,28.73,50.94,9.94,0.8,9.67
18.77,24.64,28.36,13.1,0.53,14.5
3.59,18.86,13.05,14.69,0.51,13.5
3.89,12.56,9.93,11.9,0.46,11.27
2.82,8.15,6.69,9.17,0.4,10.43
3.23,13.32,9.81,9.1,0.56,15.85
2.49,9.07,6.97,11.97,0.52,11.04
2.9,8.11,6.76,10.79,0.44,8.55
5.46,12,10.75,11.3,0.43,5.49
2.9,10.62,8.02,11.85,0.41,11.52
3.11,13.02,9.5,12.13,0.5,14.74
2.37,16.7,10.86,12.82,0.69,15.37
1.68,13.22,8.24,13.14,0.57,11.6
2.15,8.68,6.38,11.34,0.62,10.98
2.82,9.92,7.57,11.03,0.69,12.43
4.02,8.02,7.5,9.45,0.35,12.07
2.6,8.45,6.56,8.86,0.53,14.06
5.03,15.67,12.51,9.74,0.41,13.33
4.4,17.4,12.91,11.1,0.4,9.21
14.09,24.88,24.78,9.4,0.45,8.16
6.29,19.29,15.47,9.87,0.64,11.35
4.18,14.19,11.01,10.37,0.46,7.42
6.5,14.86,12.92,11.63,0.58,7.89
7.47,13.59,13.38,7.71,0.56,10.99
2.18,9.6,6.94,6.44,0.68,9.51
2.04,7.75,5.44,7.63,0.7,9.14
1.13,6.24,4.23,7.09,0.5,7.63
2.86,12.03,8.56,5.6,0.53,10.27
9.37,14.63,15.49,5.75,0.53,8.61
2.41,8.02,5.87,6.06,0.47,9.11
2.89,10.15,7.82,5.53,0.5,13.84
3.09,9.93,7.87,5.76,0.49,10.38
2.23,10.84,7.69,7.15,0.54,12.07
3.41,12.49,9.43,6.62,0.54,12.69
2.56,9.81,7.4,6.81,0.45,8.19
1.74,9.49,6.53,8.36,0.56,17.06
1.11,9.26,5.64,7.66,0.58,16.56
1.55,7.48,4.74,7.56,0.69,12.4
1.54,8.62,5.72,6.27,0.71,14.7
1.4,5.59,4.08,6.03,0.48,9.15
3.77,7.21,6.99,5.55,0.64,10.24
3.12,6.06,5.7,5.8,0.67,13.03
2.2,5.25,3.94,6.21,0.62,12.96
1.42,7.03,4.48,4.36,0.76,10.88
1.45,4.2,3.38,4.21,0.57,12.69
1.56,4.48,3.53,4.22,0.63,10.9
1.14,3.14,2.26,4.47,0.61,8.92
0.46,2.04,0.86,3.7,0.4,13.09
2.53,5.32,4.04,3.95,0.58,14.02
2.4,9.61,6.54,3.98,0.39,11.84
1.12,6.04,4.03,3.86,0.36,14.45
1.94,11.38,7.46,3.49,0.64,18.42
2.19,20.61,12.25,4.81,0.65,22.54
2.19,17.13,10.91,7.6,0.54,15.71
2.65,13.78,9.52,6.54,0.51,10.6
3.35,13.27,9.6,7.05,0.59,12.58
2.81,12.29,8.89,4.58,0.35,17.07
1.48,12.59,7.81,3.34,0.32,21.81
2.29,19.85,11.65,4.32,0.48,23.3
8.38,29.05,22.21,3.97,0.58,16.03
2.68,18.08,11.89,4.04,0.48,12.66
4.67,18.74,13.85,6.85,0.48,12.78
2.79,18.31,12.1,8.01,0.51,8.71
1.97,16.88,10.58,5.65,0.66,16.4
2.16,15.11,9.79,4.67,0.42,13.67
2.1,15.46,9.94,4.07,0.31,12.72
1.99,19.23,11.85,4.84,0.4,13.57
2.87,23.54,14.82,3.53,0.64,26.8
1.76,27.29,16.03,3.52,0.98,16.06
3.54,35.92,21.98,5.61,0.78,16.59
1.17,22.32,12.89,7.12,0.53,16.97
1.12,23.24,13.25,6,0.52,15.33
1.53,20.22,12.09,7.92,0.64,22.25
1.14,18.58,10.81,7.81,0.44,13.03
0.95,26.89,13.92,4.26,0.77,25.9
1.4,24.31,13.78,5.75,0.7,30.4
1.63,19.79,12,7.06,0.63,19.26
